variable_id,variable_name,russian_name,category,level,access,excel_cell,pydantic_model,pydantic_field,calc_engine_model,calc_engine_field,db_table,db_storage,data_type,is_required,default_value,notes
17,offer_sale_type,Вид КП,Company Settings,Quote,User,D6,QuoteCalculationRequest,variables["offer_sale_type"],CompanySettings,offer_sale_type,quote_calculation_variables,variables JSONB,string,no,поставка,Deal type (поставка/транзит/финтранзит/экспорт)
18,offer_incoterms,Базис поставки Incoterms,Logistics,Quote,User,D7,QuoteCalculationRequest,variables["offer_incoterms"],LogisticsParams,offer_incoterms,quote_calculation_variables,variables JSONB,string,no,DDP,INCOTERMS (DDP/DAP/CIF/FOB/EXW)
19,delivery_time,Срок поставки,Logistics,Both,User,D9,QuoteCalculationRequest,variables["delivery_time"],LogisticsParams,delivery_time,quote_calculation_variables,variables JSONB + quote_items.custom_fields,integer,yes,,Delivery time in days
20,advance_from_client,Аванс (%),Payment Terms,Quote,User,J5,QuoteCalculationRequest,variables["advance_from_client"],PaymentTerms,advance_from_client,quote_calculation_variables,variables JSONB,decimal,yes,100,Client upfront payment percentage
21,advance_to_supplier,Аванс поставщику (%),Payment Terms,Both,User,D11,QuoteCalculationRequest,variables["advance_to_supplier"],PaymentTerms,advance_to_supplier,quote_calculation_variables,variables JSONB + quote_items.custom_fields,decimal,yes,100,Supplier upfront payment percentage
22,time_to_advance,Дней от подписания до аванса,Payment Terms,Quote,User,K5,QuoteCalculationRequest,variables["time_to_advance"],PaymentTerms,time_to_advance,quote_calculation_variables,variables JSONB,integer,no,0,Days until client pays advance
23,advance_on_loading,Аванс при заборе груза (%),Payment Terms,Quote,User,J6,QuoteCalculationRequest,variables["advance_on_loading"],PaymentTerms,advance_on_loading,quote_calculation_variables,variables JSONB,decimal,no,0,Payment at loading percentage
24,time_to_advance_loading,Дней от забора до аванса,Payment Terms,Quote,User,K6,QuoteCalculationRequest,variables["time_to_advance_loading"],PaymentTerms,time_to_advance_loading,quote_calculation_variables,variables JSONB,integer,no,0,Days to loading payment
25,advance_on_going_to_country_destination,Аванс при отправке в РФ (%),Payment Terms,Quote,User,J7,QuoteCalculationRequest,variables["advance_on_going_to_country_destination"],PaymentTerms,advance_on_going_to_country_destination,quote_calculation_variables,variables JSONB,decimal,no,0,Payment at country arrival percentage
26,time_to_advance_going_to_country_destination,Дней от отправки до аванса,Payment Terms,Quote,User,K7,QuoteCalculationRequest,variables["time_to_advance_going_to_country_destination"],PaymentTerms,time_to_advance_going_to_country_destination,quote_calculation_variables,variables JSONB,integer,no,0,Days to country arrival
27,advance_on_customs_clearance,Аванс при таможне (%),Payment Terms,Quote,User,J8,QuoteCalculationRequest,variables["advance_on_customs_clearance"],PaymentTerms,advance_on_customs_clearance,quote_calculation_variables,variables JSONB,decimal,no,0,Payment at customs percentage
28,time_to_advance_on_customs_clearance,Дней от таможни до аванса,Payment Terms,Quote,User,K8,QuoteCalculationRequest,variables["time_to_advance_on_customs_clearance"],PaymentTerms,time_to_advance_on_customs_clearance,quote_calculation_variables,variables JSONB,integer,no,0,Days to customs clearance
29,time_to_advance_on_receiving,Дней от получения до оплаты,Payment Terms,Quote,User,K9,QuoteCalculationRequest,variables["time_to_advance_on_receiving"],PaymentTerms,time_to_advance_on_receiving,quote_calculation_variables,variables JSONB,integer,no,0,Days to final payment after receiving
30,logistics_supplier_hub,Логистика Поставщик-Хаб,Logistics,Both,User,W2,QuoteCalculationRequest,variables["logistics_supplier_hub"],LogisticsParams,logistics_supplier_hub,quote_calculation_variables,variables JSONB + monetary_fields,decimal (MonetaryValue),yes,,Cost from supplier to hub (EUR default)
31,logistics_hub_customs,Логистика Хаб-Таможня,Logistics,Both,User,W3,QuoteCalculationRequest,variables["logistics_hub_customs"],LogisticsParams,logistics_hub_customs,quote_calculation_variables,variables JSONB + monetary_fields,decimal (MonetaryValue),no,0,Cost from hub to customs (EUR default)
32,logistics_customs_client,Логистика Таможня-Клиент,Logistics,Both,User,W4,QuoteCalculationRequest,variables["logistics_customs_client"],LogisticsParams,logistics_customs_client,quote_calculation_variables,variables JSONB + monetary_fields,decimal (MonetaryValue),no,0,Cost from customs to client (RUB default)
33,brokerage_hub,Брокерские Хаб,Customs & Clearance,Both,User,W5,QuoteCalculationRequest,variables["brokerage_hub"],CustomsAndClearance,brokerage_hub,quote_calculation_variables,variables JSONB + monetary_fields,decimal (MonetaryValue),no,0,Hub brokerage fees (EUR default)
34,brokerage_customs,Брокерские Таможня,Customs & Clearance,Both,User,W6,QuoteCalculationRequest,variables["brokerage_customs"],CustomsAndClearance,brokerage_customs,quote_calculation_variables,variables JSONB + monetary_fields,decimal (MonetaryValue),no,0,Customs brokerage fees (RUB default)
35,warehousing_at_customs,Расходы на СВХ,Customs & Clearance,Both,User,W7,QuoteCalculationRequest,variables["warehousing_at_customs"],CustomsAndClearance,warehousing_at_customs,quote_calculation_variables,variables JSONB + monetary_fields,decimal (MonetaryValue),no,0,Warehousing costs (RUB default)
36,customs_documentation,Разрешительные документы,Customs & Clearance,Both,User,W8,QuoteCalculationRequest,variables["customs_documentation"],CustomsAndClearance,customs_documentation,quote_calculation_variables,variables JSONB + monetary_fields,decimal (MonetaryValue),no,0,Documentation costs (RUB default)
37,brokerage_extra,Прочее,Customs & Clearance,Both,User,W9,QuoteCalculationRequest,variables["brokerage_extra"],CustomsAndClearance,brokerage_extra,quote_calculation_variables,variables JSONB + monetary_fields,decimal (MonetaryValue),no,0,Extra brokerage fees (RUB default)
38,dm_fee_type,Вознаграждение ЛПР (тип),Financial,Quote,User,AG3,QuoteCalculationRequest,variables["dm_fee_type"],FinancialParams,dm_fee_type,quote_calculation_variables,variables JSONB,string,no,fixed,DM fee type (fixed or %)
39,dm_fee_value,Вознаграждение ЛПР (значение),Financial,Quote,User,AG7,QuoteCalculationRequest,variables["dm_fee_value"],FinancialParams,dm_fee_value,quote_calculation_variables,variables JSONB,decimal,no,0,DM fee value (amount or percentage)
40,util_fee,Утилизационный сбор,Taxes & Duties,Quote,User,-,QuoteCalculationRequest,variables["util_fee"],TaxesAndDuties,util_fee,quote_calculation_variables,variables JSONB,decimal,no,0,Utilization fee (vehicles only - not subject to VAT)
41,rate_fin_comm,Комиссия ФинАгента (%),Financial,Quote,Admin,-,-,-,SystemConfig,rate_fin_comm,calculation_settings,rate_fin_comm (column),decimal,no,2,Admin-only: Financial agent fee percentage
42,rate_loan_interest_annual,Годовая ставка займа (%),Financial,Quote,Admin,-,-,-,SystemConfig,rate_loan_interest_annual,calculation_settings,rate_loan_interest_annual (column),decimal,no,25,Admin-only: Annual loan interest rate
43,rate_loan_interest_daily,Дневная стоимость денег (%),Financial,Quote,Admin,-,-,-,SystemConfig,rate_loan_interest_daily,calculation_settings,rate_loan_interest_daily (column - or auto-calculated),decimal,no,0.069,Admin-only: Auto-calculated as annual/365
44,customs_logistics_pmt_due,Срок оплаты таможни/логистики (дни),Payment Terms,Quote,Admin,-,-,-,SystemConfig,customs_logistics_pmt_due,calculation_settings,customs_logistics_pmt_due (column),integer,no,10,Admin-only: Payment term for customs/logistics costs
